Location    Name
uksouth     Microsoft.VisualStudio.WindowsAzure.DevTest
uksouth     Microsoft.Azure.Security.LinuxTestAttestation
uksouth     softnas
uksouth     Microsoft.Azure.WindowsFabric.Test
uksouth     image-technologies
uksouth     delphix
uksouth     kali-linux
uksouth     bevywisenetworksllp1677848977927
uksouth     microsoftcorporation1602274591143
uksouth     Symantec.test.ru2.latest
uksouth     datalayer
uksouth     interoperabilitybidcoincdbalyniate1685407264923
uksouth     metaswitch
uksouth     ciena1654095655352
uksouth     neos
uksouth     gitlabinc1659373855767
uksouth     jfrog
uksouth     blueprismlimited-4827145
uksouth     unifiedstreaming1598872291606
uksouth     Microsoft.Azure.Extensions.Test0d01b487-7f79-4d87-b330-5c025068db45-20191004190331
uksouth     Microsoft.GuestConfig.Test
uksouth     brocade_communications
uksouth     Microsoft.Azure.Extensions.Test25c6fe61-1282-43c2-867b-b5039219989c-20200105081851
uksouth     Microsoft.Azure.Extensions.Testb15148bf-78d2-42d4-ad08-b3ad8fb4b122-20200101084759
uksouth     fenestrae-1035066
uksouth     Microsoft.Azure.Extensions.Test55a36387-8a3f-4159-9884-29b97539a253-20200109080443
uksouth     excelenteinc1620934446334
uksouth     Microsoft.Azure.Backup.Test
uksouth     Microsoft.Azure.Networking.DNS
uksouth     Microsoft.Azure.Extensions.Testa4c5fe4e-936e-4be1-a612-a331aff54a8c-20200111105055
uksouth     flexify-io
uksouth     gridgain
uksouth     iboss
uksouth     axshco
uksouth     dece-4446019
uksouth     genesys-source
uksouth     liberatii
uksouth     epicgames
uksouth     maplelabsinc1623932715330
uksouth     iquate
uksouth     unitedsecurityprovidersag1683803318933
uksouth     calculated_systems
uksouth     dorabot
uksouth     SentinelOne.WindowsExtension.Test
uksouth     micro-focus
uksouth     bissantechnology1583581147809
uksouth     boardpacpvtltd
uksouth     synnexcorp
uksouth     bricatainc1584472632111
uksouth     egnyte
uksouth     microlinkpcukltd
uksouth     Microsoft.Azure.Extensions.Test039abd7f-360c-42a1-ad5d-77527c519286-20191002233412
uksouth     StatusMonitor2.Diagnostics.Test
uksouth     monitorcomputersystemsltd
uksouth     mathworks-inc
uksouth     enterprise-ethereum-alliance
uksouth     Microsoft.Azure.Extensions.Testc933efa8-c553-4b93-884f-b7221d9ca789-20191228083750
uksouth     test_test_gps_americas_code-with1694019817347
uksouth     lepide-software
uksouth     stackato-platform-as-a-service
uksouth     wsusainc
uksouth     rtbusinessvalidation1685730553911
uksouth     calnexsolutionsplc1646835041441
uksouth     articentgroupllc1635512619530
uksouth     desktopstudioag1580294245574
uksouth     Microsoft.AzureMonitor.WorkloadInsights.Canary
uksouth     orbs-network
uksouth     ivanti-nzta
uksouth     kyvos-insights-inc
uksouth     realm
uksouth     linkshadowlimited1688362969670
uksouth     koverseinc1588716263110
uksouth     1667570284386
uksouth     sentriumsl
uksouth     nilespartnersinc1617691698386
uksouth     fw
uksouth     MicrosoftTestLinuxPPS
uksouth     Microsoft.Azure.Extensions.Test3adeec20-7458-4b3d-af26-0b6bc2aae3eb-20200103083751
uksouth     Microsoft.Azure.Extensions.Testafbbd8bf-aec5-48bf-8fea-73fa15ccc315-20191001224727
uksouth     reblaze
uksouth     skylarkcloud
uksouth     automateio1592914387888
uksouth     globalidsinc1596800540598
uksouth     securityonionsolutionsllc1624649205155
uksouth     option3
uksouth     Microsoft.Azure.Extensions.Test691d94e5-c40c-4568-94b0-09b08aea42b1-20200106050808
uksouth     morpheus-data
uksouth     ishlangu-load-balancer-adc
uksouth     litionenergiegmbh1580128829115
uksouth     cloudbees-enterprise-jenkins
uksouth     tsa-public-service
uksouth     kalkitech
uksouth     knime
uksouth     excelero1608461290726
uksouth     instight-technology
uksouth     auriq-systems
uksouth     saltsecurity1650441978315
uksouth     s2ix
uksouth     zscaler1579058425289
